iter	Logloss
0	0.6899683669
1	0.6844333958
2	0.6803647634
3	0.6763749509
4	0.6714964686
5	0.6671210624
6	0.6630702663
7	0.6590067889
8	0.6545685433
9	0.6505487803
10	0.6454770372
11	0.6420990196
12	0.6389265318
13	0.6366703446
14	0.6340709377
15	0.6294596389
16	0.6258887214
17	0.6222949157
18	0.6182063335
19	0.6141411034
20	0.6099110681
21	0.6059405353
22	0.6025588577
23	0.5994213207
24	0.5955337834
25	0.5917692442
26	0.5885626819
27	0.5852325027
28	0.5814161043
29	0.5789516552
30	0.5768701708
31	0.5745561961
32	0.5715577409
33	0.569552138
34	0.5666067794
35	0.5634139293
36	0.5598665186
37	0.55756306
38	0.5551578419
39	0.5532030157
40	0.5508525436
41	0.5488539515
42	0.545048224
43	0.5424702103
44	0.5391710642
45	0.5371285516
46	0.5338059503
47	0.5315730121
48	0.5294510094
49	0.5276123253
50	0.5259864395
51	0.5243891123
52	0.521834193
53	0.5191563787
54	0.5175163681
55	0.5158597585
56	0.5141597439
57	0.5112944938
58	0.5089862927
59	0.5062098116
60	0.5042364791
61	0.502490121
62	0.5001165545
63	0.4981074978
64	0.4963261372
65	0.4943076984
66	0.4916090579
67	0.4897586719
68	0.4872429306
69	0.4856945244
70	0.4844197969
71	0.4818471445
72	0.4807544914
73	0.4792185603
74	0.4772693015
75	0.4753531379
76	0.4745096774
77	0.473174224
78	0.4711171743
79	0.4694345835
80	0.4679467485
81	0.4670895757
82	0.4654771959
83	0.463806307
84	0.4618810705
85	0.4605057175
86	0.4593544522
87	0.4578598126
88	0.4561613959
89	0.4550962706
90	0.4536114255
91	0.452192255
92	0.4509795936
93	0.449180603
94	0.448007429
95	0.4470679824
96	0.446323601
97	0.4447963818
98	0.4432344694
99	0.4416746191
100	0.4399893477
101	0.4387601904
102	0.4377807411
103	0.4360228874
104	0.4347764093
105	0.4334867838
106	0.4316979228
107	0.4302069174
108	0.4286047446
109	0.4277412827
110	0.4267859072
111	0.4252196647
