iter	Passed	Remaining
0	1	156
1	2	157
2	3	144
3	4	134
4	5	128
5	7	123
6	8	120
7	9	117
8	10	115
9	11	112
10	12	110
11	13	108
12	14	107
13	15	105
14	16	103
15	17	103
16	18	102
17	19	100
18	20	99
19	21	97
20	22	96
21	23	95
22	24	94
23	25	92
24	26	91
25	27	90
26	28	89
27	29	88
28	30	87
29	31	86
30	32	84
31	33	83
32	34	82
33	35	81
34	36	80
35	37	79
36	38	78
37	39	77
38	41	76
39	42	75
40	43	74
41	44	73
42	45	73
43	46	72
44	47	71
45	49	70
46	50	69
47	51	68
48	52	67
49	53	66
50	54	65
51	56	64
52	57	63
53	58	62
54	59	61
55	60	60
56	62	60
57	63	59
58	65	58
59	66	57
60	67	56
61	68	55
62	69	54
63	70	53
64	72	52
65	73	50
66	74	49
67	75	48
68	76	47
69	77	46
70	79	45
71	80	44
72	81	43
73	82	42
74	83	41
75	84	40
76	85	38
77	86	37
78	88	36
79	89	35
80	90	34
81	91	33
82	92	32
83	93	31
84	94	30
85	96	29
86	97	27
87	98	26
88	99	25
89	100	24
90	101	23
91	103	22
92	104	21
93	105	20
94	106	19
95	107	17
96	109	16
97	110	15
98	111	14
99	112	13
100	113	12
101	114	11
102	115	10
103	116	8
104	118	7
105	119	6
106	120	5
107	121	4
108	122	3
109	124	2
110	125	1
111	126	0
