,bed_occupancy,los_ratio_national,national_avg_los,patient_turnover,unit_avg_los,dietitian_staffing_count,dietitian_staffing_etp,medical_admin_assistant_staffing_count,medical_admin_assistant_staffing_etp,nurse_aide_staffing_count,nurse_aide_staffing_etp,nurse_anesthetist_staffing_count,nurse_anesthetist_staffing_etp,nurse_staffing_count,nurse_staffing_etp,total_staffing_count,total_staffing_etp
admission_origin,0.19823754838624125,0.2155072956379537,0.1602925936685996,-0.009325098445122899,0.27831663061644973,-0.01157050131258888,-0.1508847876596771,0.01541410601050217,0.26195566358680994,0.22660421286683485,0.23110136689331176,-0.07061037294560839,-0.07061037294560839,0.2746664378287965,0.27333322925340026,0.2528634370088736,0.25108559814223547
age,-0.02573910150556096,-0.015241352740547625,-0.07129137855500636,-0.006737622312914202,-0.02631016133829076,0.021433880415003794,0.07119688087053855,0.03555067563624352,-0.032668304563673686,-0.052269076304175245,-0.05139166287327305,-0.02801186019639246,-0.02801186019639246,-0.08705640254333843,-0.07997770058221942,-0.06066638418299869,-0.05727723068172384
sex,-0.07554676209993635,-0.1962388619737513,-0.07690586951033425,0.09736629027911994,-0.20327890068551063,0.06693928131579763,0.14089254987648558,-0.026670526758370006,-0.11952694840821303,-0.18426992609917808,-0.18809617446727855,-0.0010109206401829438,-0.0010109206401829438,-0.1048844943313912,-0.09636838005124577,-0.1744640210668059,-0.17079228902817603
antibiotic_at_admission,-0.149820219372321,-0.22379812276190697,-0.19505626086242875,0.03773870672265093,-0.2221913947827805,-0.05428403587440506,0.15310148211524818,0.13266893356416315,-0.23295946102918305,-0.2551952143564253,-0.26005562716259545,0.0308703763023766,0.0308703763023766,-0.19488436368835987,-0.19873418342665408,-0.26213834779349154,-0.2615610447164577
cancer_status,-0.2906952544948022,-0.4568277835159432,-0.7085536978916038,0.10533711842915594,-0.5241283832383552,-0.02099364891436808,0.5945640166066941,0.2696869042933197,-0.7686433748330552,-0.6754795988891545,-0.6908569108262769,0.1760394557293454,0.1760394557293454,-0.7350231296816373,-0.7763859553418375,-0.7258307415946257,-0.7611154200513441
diagnostic_category,0.0019100186422984782,-0.05970656449951491,-0.05776776976039666,0.1059532774220197,-0.07083173842522046,-0.02750184314153638,0.04114679193440008,0.02300382396675276,-0.05268260417512864,-0.06121372507718718,-0.062208282304277086,-0.01188140817100532,-0.01188140817100532,-0.04792793061737018,-0.05104321973992011,-0.07275479570972607,-0.07392417102720447
immunosuppression,0.11431607242134721,0.20989068749669965,0.04586452738004946,-0.031314537892894644,0.1992440584207801,-0.020530125225119333,-0.13089945339654843,0.12462163172167808,0.1807070844322984,0.18647289969932895,0.1827981519572814,-0.05238201995327114,-0.05238201995327114,0.1644584653045444,0.15740081078889714,0.1944991610643887,0.18849487563629116
severity_score_igs2,-0.05423833591487029,-0.06644025714179251,-0.02899426822085517,0.0494041593132013,-0.1158862460669683,0.0634554521635326,0.13399787708675273,0.022701404612776206,-0.08299909462374286,-0.07204798646122451,-0.06783599470810721,0.0997149420940873,0.0997149420940873,-0.1569529232328521,-0.15897254630008065,-0.08817873195366385,-0.0922040385423231
trauma_status,0.030880199226108157,0.034043664271221484,0.11339541573721246,0.014217231845296241,0.0852134358932537,0.047231431592826514,-0.10234143699395779,-0.03323132289801412,0.1592209947585859,0.1168290906524116,0.11940693787553183,-0.04675669284633127,-0.04675669284633127,0.08252035259848776,0.09622348304635372,0.10079146267849544,0.10925179742809486
central_line_count,0.08671750397978209,0.16479050183819577,0.13439858406730784,0.07269001630446963,0.14552684657088452,0.05071196276415566,-0.09098049584967079,-0.1389260459537868,0.12230709108511874,0.16932130257695727,0.17171677965938564,-0.0009218185456882551,-0.0009218185456882551,0.13424615398148942,0.13597143411564658,0.1812004264245606,0.18185646373786207
ecmo_status,0.003639124713979284,-0.04255825242011524,-0.02122036752062538,-0.006143193676304589,-0.06200616710281564,0.0189876993563976,0.09351646019958276,0.04591409080150481,-0.06300425395736281,-0.08753106236757188,-0.08854757686993923,-0.0111637933828082,-0.0111637933828082,-0.054708795458957175,-0.06924094416188233,-0.056902624458484256,-0.0569471897702907
intubation_days,0.13456389888331793,0.2839968435007146,0.1545512000172992,0.016866984000994966,0.26759531637189843,0.09078940896704797,-0.11241594022402564,-0.06513227992986532,0.22084646361859608,0.30278954392907365,0.30359011403488256,0.010455062240976589,0.010455062240976589,0.20089892769728665,0.19130082398735979,0.29425024764089364,0.2843816055648935
intubation_status,-0.1255098297624346,-0.21710474633668858,-0.1331958340961358,-0.03478000548397284,-0.2079232240246524,-0.06843487647133184,0.0773190297465613,0.03258098008843305,-0.18250851145163127,-0.2315436565428437,-0.23181399106448486,-0.01377487166387572,-0.01377487166387572,-0.15920311384136984,-0.1486056637026792,-0.22980949301886539,-0.21994259646850015
reintubation_status,-0.04121478630331077,0.03537329854920914,-0.019160536714154953,-0.10485458896156927,-0.024319142752581287,-0.14978811739069353,-0.12539375238910744,0.0017467378424519482,0.0024257524740967863,-0.06480293116121197,-0.05740222322590624,-0.030568738419985416,-0.030568738419985416,-0.00834466231755502,-0.00045830562554890374,-0.06856770903915807,-0.05847531343000833
urinary_catheter,-0.01414345570644138,-0.016345318092809192,-0.024155025971762435,-0.06172150447940314,0.04763421183861545,0.0027803224490564925,0.03169706061139159,0.0719036660621902,-0.0007249040893136264,0.004465144764038466,0.0032899559798858437,0.02770866966812083,0.02770866966812083,0.019091432395684966,0.01639321652056838,0.0009716996369265999,-0.005779586497651413
urinary_catheter_days,0.06605316483617381,0.17891579067587252,0.08398611933600698,0.027022192685109334,0.1447393397882175,0.07310950302198668,-0.10033289157226906,-0.11237711614815683,0.12124383911124684,0.1928207509786851,0.19189576976453784,0.011340595346872194,0.011340595346872194,0.12487736658648128,0.11931457397781126,0.1861375634621814,0.1837497823746724
length_of_stay,0.06737139314292383,0.19327435124148212,0.1185109479973809,-0.0541002605882446,0.2298298382763799,0.1586153520828327,-0.1149270074022267,-0.19314534341049397,0.10071659141657915,0.23955642896142137,0.24055688955060514,-0.03805628739028738,-0.03805628739028738,0.19545663008465272,0.1847957418905843,0.25524198813899474,0.24962376625325583
