run_id,seed,model_id,feature_set,algorithm,n_features,cv_auc_roc,best_params_json,auc_roc,auc_pr,accuracy,precision,recall,specificity,f1,mcc,brier_score
1,43,Model_A_catboost,A,catboost,20,0.88491382451114,"{""depth"": 7, ""iterations"": 490, ""l2_leaf_reg"": 2.1583055424666098, ""learning_rate"": 0.05710919544798494}",0.8142441860465116,0.6984021799561345,0.7777777777777778,0.7,0.525,0.8953488372093024,0.6,0.4594019431269716,0.16833768653954195
1,43,Model_A_lightgbm,A,lightgbm,20,0.8716968129719809,"{""colsample_bytree"": 0.6245962532396887, ""learning_rate"": 0.137903379676757, ""min_child_samples"": 17, ""n_estimators"": 477, ""num_leaves"": 70, ""reg_alpha"": 3.5460695173374113, ""reg_lambda"": 1.1473128633819556, ""subsample"": 0.9953782491846972}",0.8531976744186046,0.7644994636454362,0.8015873015873016,0.7027027027027027,0.65,0.872093023255814,0.6753246753246753,0.5336189521389046,0.13497521739164542
1,43,Model_A_random_forest,A,random_forest,20,0.8787202277135163,"{""class_weight"": null, ""max_depth"": 13, ""min_samples_leaf"": 2, ""min_samples_split"": 15, ""n_estimators"": 124}",0.8645348837209302,0.785973852342035,0.8253968253968254,0.7647058823529411,0.65,0.9069767441860465,0.7027027027027027,0.5840942235426165,0.13232189735465882
1,43,Model_A_xgboost,A,xgboost,20,0.8532377240430933,"{""colsample_bytree"": 0.8792286178406238, ""gamma"": 0.4359433535403013, ""learning_rate"": 0.01000823361790093, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 227, ""scale_pos_weight"": 3.7473010925176795, ""subsample"": 0.6396030962056446}",0.8421511627906977,0.7545227576262364,0.7301587301587301,0.5535714285714286,0.775,0.7093023255813954,0.6458333333333334,0.4536832467394989,0.17127026875544848
1,43,Model_B_catboost,B,catboost,33,0.8796099274287194,"{""depth"": 4, ""iterations"": 439, ""l2_leaf_reg"": 3.3169061179437906, ""learning_rate"": 0.1831848844455835}",0.7752906976744186,0.6665255422243469,0.7619047619047619,0.6785714285714286,0.475,0.8953488372093024,0.5588235294117647,0.4146657381778782,0.19265960669249002
1,43,Model_B_lightgbm,B,lightgbm,33,0.8684550580523734,"{""colsample_bytree"": 0.630505254055854, ""learning_rate"": 0.2548898721971072, ""min_child_samples"": 23, ""n_estimators"": 289, ""num_leaves"": 50, ""reg_alpha"": 3.937258525905247, ""reg_lambda"": 3.5137875692015195, ""subsample"": 0.6346580358603986}",0.8267441860465117,0.7300679126183351,0.7857142857142857,0.6326530612244898,0.775,0.7906976744186046,0.6966292134831461,0.540157253074443,0.15757775128451856
1,43,Model_B_random_forest,B,random_forest,33,0.8605157816567213,"{""class_weight"": ""balanced"", ""max_depth"": 3, ""min_samples_leaf"": 6, ""min_samples_split"": 15, ""n_estimators"": 347}",0.8558139534883721,0.7675941488862152,0.7619047619047619,0.5833333333333334,0.875,0.7093023255813954,0.7,0.5445894743384724,0.17494532557350517
1,43,Model_B_xgboost,B,xgboost,33,0.8633482475764356,"{""colsample_bytree"": 0.895974532883788, ""gamma"": 0.1295701180344028, ""learning_rate"": 0.15885914859747594, ""max_depth"": 9, ""min_child_weight"": 2, ""n_estimators"": 211, ""scale_pos_weight"": 4.310050202928353, ""subsample"": 0.9324393208421807}",0.7302325581395349,0.6510316325365586,0.7063492063492064,0.5306122448979592,0.65,0.7325581395348837,0.5842696629213483,0.3652861999208463,0.2281122225278235
2,44,Model_A_catboost,A,catboost,20,0.8828433492863024,"{""depth"": 4, ""iterations"": 212, ""l2_leaf_reg"": 9.41577732785722, ""learning_rate"": 0.057276907097892814}",0.8357558139534883,0.7324097473128577,0.7936507936507936,0.75,0.525,0.9186046511627907,0.6176470588235294,0.4966875325427333,0.14804713071795192
2,44,Model_A_lightgbm,A,lightgbm,20,0.873483964087991,"{""colsample_bytree"": 0.6453854804479882, ""learning_rate"": 0.2159429180648513, ""min_child_samples"": 28, ""n_estimators"": 483, ""num_leaves"": 86, ""reg_alpha"": 1.0894943467326206, ""reg_lambda"": 4.787360345339587, ""subsample"": 0.7710606084246436}",0.8255813953488372,0.7190757995347775,0.7619047619047619,0.6388888888888888,0.575,0.8488372093023255,0.6052631578947368,0.4367227314739256,0.15679485648675476
2,44,Model_A_random_forest,A,random_forest,20,0.8766354118703112,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 185}",0.8619186046511628,0.7754777300641023,0.8015873015873016,0.7027027027027027,0.65,0.872093023255814,0.6753246753246753,0.5336189521389046,0.13745710907388162
2,44,Model_A_xgboost,A,xgboost,20,0.8605027975833345,"{""colsample_bytree"": 0.9326708928452869, ""gamma"": 0.12850148291105007, ""learning_rate"": 0.011618055828174954, ""max_depth"": 8, ""min_child_weight"": 5, ""n_estimators"": 122, ""scale_pos_weight"": 2.00249476406026, ""subsample"": 0.7228418731086977}",0.8453488372093022,0.7535660540139214,0.7063492063492064,0.5223880597014925,0.875,0.627906976744186,0.6542056074766355,0.46914109228934003,0.19408673809350796
2,44,Model_B_catboost,B,catboost,33,0.8730483193570442,"{""depth"": 5, ""iterations"": 421, ""l2_leaf_reg"": 7.617717048513098, ""learning_rate"": 0.02107727220876321}",0.831686046511628,0.7407019866370939,0.7619047619047619,0.6470588235294118,0.55,0.8604651162790697,0.5945945945945946,0.43044939647295116,0.1448347319216599
2,44,Model_B_lightgbm,B,lightgbm,33,0.8604727598016189,"{""colsample_bytree"": 0.9956680384389271, ""learning_rate"": 0.09271174662853143, ""min_child_samples"": 40, ""n_estimators"": 137, ""num_leaves"": 107, ""reg_alpha"": 3.5697301243232347, ""reg_lambda"": 3.9327190870735453, ""subsample"": 0.9264488472360968}",0.8238372093023256,0.7304253957249974,0.7777777777777778,0.625,0.75,0.7906976744186046,0.6818181818181818,0.5182816144168882,0.1619524064260446
