row_type,name,original_feature,group,importance_mean,importance_sd,importance_median
feature,intubation_days,intubation_days,Medical Procedures,0.070515318948857,0.008161453728782095,0.07138600525136951
feature,urinary_catheter_days,urinary_catheter_days,Medical Procedures,0.05025518555458227,0.008919846433359805,0.05253603451774018
feature,intubation_status_2,intubation_status,Medical Procedures,0.0283472657038839,0.005425046148428401,0.02773749527466117
feature,length_of_stay,length_of_stay,Length of Stay,0.027885444458537717,0.00594310147206136,0.025856260944008135
feature,reintubation_status_not_applicable,reintubation_status,Medical Procedures,0.027834174287074853,0.006626639755900952,0.02785395014922533
feature,intubation_status_1,intubation_status,Medical Procedures,0.02693054995840615,0.005727477654863274,0.026644001779495795
feature,medical_admin_assistant_staffing_etp,medical_admin_assistant_staffing_etp,Organizational Staffing,0.024325356987335126,0.0038472153986012655,0.024738302183876827
feature,total_staffing_etp,total_staffing_etp,Organizational Staffing,0.02237714027690494,0.003548753396119988,0.021896968827161502
feature,central_line_count,central_line_count,Medical Procedures,0.02132974350848231,0.006516162730814122,0.019838860038150215
feature,nurse_aide_staffing_etp,nurse_aide_staffing_etp,Organizational Staffing,0.018296457609303783,0.003927741706734691,0.017302034268764435
feature,nurse_staffing_etp,nurse_staffing_etp,Organizational Staffing,0.014782454479743409,0.005108898506676911,0.015958685035575466
feature,los_ratio_national,los_ratio_national,Organizational Environment,0.013621223866643944,0.003821161309071002,0.013999796088347376
feature,unit_avg_los,unit_avg_los,Organizational Environment,0.012886561257659232,0.0046822965822634005,0.011856017089769707
feature,reintubation_status_2,reintubation_status,Medical Procedures,0.01262289052865678,0.005564336017321233,0.012432422329452165
feature,admission_weekday_2,admission_weekday,Temporal,0.008211810462426337,0.005014804408766054,0.006263269287417895
feature,dietitian_staffing_etp,dietitian_staffing_etp,Organizational Staffing,0.008069868013291962,0.0030352063165469574,0.007285069790218646
feature,cancer_status_9,cancer_status,Clinical Severity,0.008049705750685143,0.0023427781146362655,0.008420585181702316
feature,dietitian_staffing_count,dietitian_staffing_count,Organizational Staffing,0.007114068411631015,0.0036406460422044066,0.0072230554175575275
feature,admission_month_3,admission_month,Temporal,0.006548947361018673,0.0025961489535588026,0.0062037809954406465
feature,cancer_status_3,cancer_status,Clinical Severity,0.006074725098069045,0.0023552894236681656,0.005716330226086246
feature,immunosuppression_3,immunosuppression,Clinical Severity,0.005989259249158519,0.002375890153928747,0.005370427683774906
feature,bed_occupancy,bed_occupancy,Organizational Environment,0.0052650002066529705,0.002026316001143236,0.005586130569907154
feature,admission_weekday_3,admission_weekday,Temporal,0.005253650393828858,0.0027152876077758065,0.005589181731246519
feature,admission_origin_3,admission_origin,Patient Demographics,0.004304379579626228,0.001621190502318586,0.003924434719894557
feature,sex_2,sex,Patient Demographics,0.0038488696175127623,0.001929620498379029,0.0037831066456339166
feature,national_avg_los,national_avg_los,Organizational Environment,0.003652235531648998,0.0010956052108802392,0.003610426067046398
feature,reintubation_status_1,reintubation_status,Medical Procedures,0.003433879366991327,0.0015026104217415398,0.0030810081401290096
